L_higgs,L_neu_mass,L_pad,L_x,L_y,L_y_mmd,L_z,epoch,step,train_loss,val_L_higgs,val_L_neu_mass,val_L_pad,val_L_x,val_L_y,val_L_y_mmd,val_L_z,val_loss
,,,,,,,0,589,,22.34402084350586,0.0004863194189965725,0.7616789937019348,0.019439438357949257,0.7515136003494263,0.2569006085395813,0.07756419479846954,22.15552520751953
33.52565002441406,0.0014142954023554921,1.1714521646499634,0.03573935478925705,0.9878016710281372,0.32277581095695496,0.16477058827877045,0,589,38.02693176269531,,,,,,,,
,,,,,,,1,1179,,17.744869232177734,0.0005888892337679863,0.5503181219100952,0.01704666204750538,0.6765154004096985,0.2476077377796173,0.0599268414080143,18.491973876953125
19.943376541137695,0.002313080942258239,0.6580849885940552,0.01794256456196308,0.7142754197120667,0.2634527087211609,0.06871239095926285,1,1179,20.254920959472656,,,,,,,,
,,,,,,,2,1769,,15.75650405883789,0.0006164282094687223,0.4464435577392578,0.015319411642849445,0.6395388245582581,0.2284642606973648,0.056960925459861755,17.177457809448242
17.18353271484375,0.0006579110631719232,0.5045062303543091,0.01584768109023571,0.6614609360694885,0.23906730115413666,0.055463358759880066,2,1769,17.553346633911133,,,,,,,,
,,,,,,,3,2359,,15.459492683410645,0.0008161623263731599,0.3707578182220459,0.014822540804743767,0.6132075190544128,0.22549138963222504,0.052067987620830536,16.220088958740234
15.699113845825195,0.0024194668512791395,0.4207916855812073,0.014697947539389133,0.6293370723724365,0.22164544463157654,0.04973049461841583,3,2359,16.196704864501953,,,,,,,,
,,,,,,,4,2949,,13.931574821472168,0.0007942219381220639,0.3368498682975769,0.014385024085640907,0.596571147441864,0.20174342393875122,0.047365497797727585,15.309273719787598
14.677560806274414,0.0007673755753785372,0.3578849732875824,0.01411296147853136,0.6071527600288391,0.2050124704837799,0.04604307562112808,4,2949,15.324067115783691,,,,,,,,
,,,,,,,5,3539,,13.544307708740234,0.0007941629737615585,0.2926693558692932,0.013288898393511772,0.5832677483558655,0.1912408024072647,0.04244203120470047,14.381759643554688
13.767387390136719,0.0007975276093930006,0.31769680976867676,0.013648037798702717,0.5954580903053284,0.19501498341560364,0.04372137412428856,5,3539,14.750753402709961,,,,,,,,
,,,,,,,6,4129,,12.796701431274414,0.0008004058036021888,0.2672198712825775,0.014063514769077301,0.5741540789604187,0.18264031410217285,0.04173092544078827,14.274225234985352
13.225602149963379,0.0008085675071924925,0.28213056921958923,0.01348152942955494,0.5804233551025391,0.1807270646095276,0.040449563413858414,6,4129,14.150187492370605,,,,,,,,
,,,,,,,7,4719,,12.618636131286621,0.0008462864207103848,0.24239559471607208,0.013314806856215,0.5651353001594543,0.17806723713874817,0.04574762284755707,14.39333438873291
12.686883926391602,0.0008176499395631254,0.25655508041381836,0.013276256620883942,0.5704649090766907,0.1772902011871338,0.03965359553694725,7,4719,13.850510597229004,,,,,,,,
,,,,,,,8,5309,,12.052701950073242,0.0008194550173357129,0.2255515605211258,0.012887226417660713,0.5570043921470642,0.17302286624908447,0.03927374631166458,13.505683898925781
12.263577461242676,0.0008315168088302016,0.24128156900405884,0.013103765435516834,0.5640882253646851,0.1699601411819458,0.038602475076913834,8,5309,13.589521408081055,,,,,,,,
,,,,,,,9,5899,,11.753153800964355,0.0008667357033118606,0.21006309986114502,0.012948118150234222,0.5503888130187988,0.16140498220920563,0.04560643807053566,14.039534568786621
11.867643356323242,0.0008377995691262186,0.2233511209487915,0.01297174021601677,0.5550482273101807,0.16373826563358307,0.03772662580013275,9,5899,13.327614784240723,,,,,,,,
,,,,,,,10,6489,,11.273581504821777,0.0008165964973159134,0.19653573632240295,0.01387286651879549,0.5454404354095459,0.1563880741596222,0.038863446563482285,13.439214706420898
11.548110008239746,0.000854505633469671,0.20648707449436188,0.012742034159600735,0.5487650632858276,0.15645301342010498,0.03622153401374817,10,6489,13.019511222839355,,,,,,,,
,,,,,,,11,7079,,11.06493091583252,0.000828816439025104,0.18684890866279602,0.012284226715564728,0.54039067029953,0.15338096022605896,0.03433224558830261,12.587318420410156
11.30655574798584,0.0008591875666752458,0.19621914625167847,0.012660766020417213,0.5450700521469116,0.15153086185455322,0.03561815991997719,11,7079,12.871548652648926,,,,,,,,
,,,,,,,12,7669,,10.86191177368164,0.0008998263510875404,0.17834478616714478,0.012707534246146679,0.5355871915817261,0.1453573852777481,0.037386853247880936,12.900599479675293
10.975801467895508,0.0008463585982099175,0.1863064169883728,0.0126640060916543,0.5395494699478149,0.14859122037887573,0.03395870700478554,12,7669,12.608052253723145,,,,,,,,
,,,,,,,13,8259,,10.507508277893066,0.0008161583682522178,0.16950251162052155,0.012293579056859016,0.5298556089401245,0.1400941163301468,0.03325209021568298,12.302735328674316
10.659808158874512,0.0008599807042628527,0.17626866698265076,0.012543078511953354,0.534430980682373,0.14149750769138336,0.03333331644535065,13,8259,12.428506851196289,,,,,,,,
,,,,,,,14,8849,,10.472318649291992,0.0008762691868469119,0.15792760252952576,0.012379370629787445,0.5269938111305237,0.136724054813385,0.03592802956700325,12.543773651123047
10.459716796875,0.0008740639896132052,0.16759738326072693,0.01250105444341898,0.529313325881958,0.1381727159023285,0.031955718994140625,14,8849,12.202478408813477,,,,,,,,
,,,,,,,15,9439,,10.15939712524414,0.000865307985804975,0.15569788217544556,0.012311669997870922,0.5228432416915894,0.13328182697296143,0.031194638460874557,11.981863975524902
10.176353454589844,0.0008788437698967755,0.16068391501903534,0.012351928278803825,0.5260007977485657,0.13395138084888458,0.0313999280333519,15,9439,12.048707962036133,,,,,,,,
,,,,,,,16,10029,,10.106386184692383,0.0009391993517056108,0.14967070519924164,0.01247326098382473,0.5193498134613037,0.13178399205207825,0.03082476183772087,11.930935859680176
9.966546058654785,0.0008837271016091108,0.15412797033786774,0.01220722682774067,0.5220015645027161,0.13074477016925812,0.03054177202284336,16,10029,11.866421699523926,,,,,,,,
,,,,,,,17,10619,,9.715601921081543,0.0008881381945684552,0.14359450340270996,0.01259881816804409,0.5176039934158325,0.12941798567771912,0.029806440696120262,11.79160213470459
9.753083229064941,0.000889655901119113,0.14739948511123657,0.012220341712236404,0.5201252698898315,0.13090570271015167,0.030951552093029022,17,10619,11.863184928894043,,,,,,,,
,,,,,,,18,11209,,9.536794662475586,0.0009101901086978614,0.13712452352046967,0.011907723732292652,0.5134205222129822,0.12577496469020844,0.02817721664905548,11.424276351928711
9.5519380569458,0.0008934475481510162,0.14143234491348267,0.011993864551186562,0.516175389289856,0.1260019689798355,0.029621105641126633,18,11209,11.61926555633545,,,,,,,,
,,,,,,,19,11799,,9.50724983215332,0.0009425654425285757,0.13425225019454956,0.011968915350735188,0.5125701427459717,0.12364135682582855,0.02779078669846058,11.383543014526367
9.423470497131348,0.0008866695570759475,0.1373598575592041,0.012243226170539856,0.513129711151123,0.12348169833421707,0.0288067813962698,19,11799,11.540332794189453,,,,,,,,
,,,,,,,20,12389,,9.197921752929688,0.0008795286412350833,0.1285860389471054,0.012090640142560005,0.5091565251350403,0.11920329183340073,0.03143167868256569,11.701240539550781
9.407183647155762,0.0013164571719244123,0.13254103064537048,0.012113281525671482,0.5111470818519592,0.11915091425180435,0.02799173630774021,20,12389,11.406569480895996,,,,,,,,
,,,,,,,21,12979,,9.407341003417969,0.000935928663238883,0.12407734245061874,0.012930817902088165,0.5053932666778564,0.112986721098423,0.02569006383419037,11.273913383483887
9.201251983642578,0.0008970082853920758,0.1282835602760315,0.012176674790680408,0.50801682472229,0.11506703495979309,0.027473177760839462,21,12979,11.311234474182129,,,,,,,,
,,,,,,,22,13569,,9.035325050354004,0.0008845997508615255,0.11968298256397247,0.012905475683510303,0.5040431022644043,0.11029727756977081,0.02976207807660103,11.620949745178223
